시도,시군구,면적_km2,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km,산업용전력_2024_kWh,산업용전력_2023_kWh,평균급여_만원,lat,lng
경북,안동시,1527.0,3.0,1.965,포항항,76.5,302676633.0,295726673,3777.0,36.5803,128.78
경북,영덕군,744.77,1.0,1.343,포항항,41.2,46277511.0,50368555,3430.1,36.48247,129.31764
경북,영양군,819.05,0.0,0.0,호산항,60.1,12711583.0,12293073,3671.4,36.69642,129.14502
경북,영주시,672.99,2.0,2.972,호산항,76.6,1159581718.0,1117996185,3803.6,36.87054,128.59765
경북,영천시,915.49,5.0,5.462,포항항,44.2,939821740.0,961775079,3544.2,36.01583,128.94264
경북,예천군,664.38,1.0,1.505,호산항,103.0,50483267.0,51008572,4085.7,36.65388,128.42244
경북,울릉군,73.66,0.0,0.0,호산항,137.8,8469031.0,8105143,4305.9,37.50192,130.86365
경북,울진군,992.98,0.0,0.0,호산항,34.3,312480671.0,374698700,4378.9,36.90408,129.3124
경북,의성군,1169.39,3.0,2.565,포항항,76.7,76750298.0,79835638,3304.6,36.36201,128.61501
경북,청도군,692.98,0.0,0.0,울산항,60.8,83420837.0,84985828,3483.6,35.6729,128.78651
경북,청송군,846.59,2.0,2.362,포항항,41.5,20097368.0,19784180,3316.3,36.35705,129.05744
경북,칠곡군,450.01,5.0,11.111,포항항,86.5,1237683093.0,1279962601,3720.6,36.01549,128.46255
경북,포항시,1131.84,4.0,3.534,포항항,10.4,8000521341.0,7768872649,4668.4,36.09277,129.30547
광주,광산구,221.93,5.0,22.53,목포항,52.3,1977456873.0,1945044717,4037.4,35.16506,126.75292
광주,남구,60.58,0.0,0.0,목포항,54.2,50265807.0,48879940,4315.1,35.09411,126.85693
광주,동구,48.7,0.0,0.0,목포항,62.7,36239869.0,34723935,4238.1,35.11739,126.94951
광주,북구,119.41,6.0,50.247,목포항,65.8,741348218.0,744438050,3867.6,35.19327,126.92538
광주,서구,47.64,0.0,0.0,목포항,56.5,309770389.0,311157406,4269.9,35.13557,126.85053
대구,남구,17.8,0.0,0.0,마산항,76.9,11232813.0,10633647,3301.2,35.83508,128.58533
대구,달서구,62.57,2.0,31.964,마산항,76.3,1945533218.0,1994829457,3958.3,35.82768,128.52892
대구,달성군,423.0,7.0,16.548,마산항,69.1,3182387811.0,3179292597,3820.5,35.75966,128.49832
대구,동구,181.57,3.0,16.523,포항항,68.9,129353109.0,129574470,3760.0,35.93449,128.68566
대구,북구,93.85,4.0,42.621,포항항,78.4,665233608.0,685515529,3628.0,35.92886,128.57741
대구,서구,17.4,1.0,57.471,마산항,81.5,348278884.0,363966016,3146.0,35.87509,128.54967
대구,수성구,76.67,0.0,0.0,포항항,75.1,217762471.0,212071882,5251.8,35.83383,128.6612
대구,중구,7.07,0.0,0.0,포항항,79.2,36208487.0,36379644,4236.2,35.86648,128.59353
대전,대덕구,69.14,2.0,28.927,군산항,79.6,1909654735.0,1932673134,3628.7,36.41234,127.44015
대전,동구,137.16,2.0,14.582,군산항,76.9,82394680.0,83609451,3459.2,36.32404,127.47511
대전,서구,95.45,3.0,31.43,군산항,64.4,52239972.0,52783849,4139.8,36.28038,127.34522
대전,유성구,175.84,2.0,11.374,군산항,69.6,928011277.0,879825129,5130.7,36.37675,127.33327
대전,중구,62.19,1.0,16.08,군산항,69.5,34538834.0,34932218,3810.5,36.2808,127.41114
부산,강서구,185.3,4.0,21.587,부산항,14.3,3356267633.0,3338460518,4487.8,35.13683,128.8914
부산,금정구,65.72,4.0,60.864,부산항,18.7,243748665.0,243813233,4059.9,35.2589,129.09146
부산,기장군,219.28,4.0,18.242,부산항,26.8,740207567.0,730081377,3942.7,35.29787,129.20101
부산,남구,27.2,0.0,0.0,부산항,5.9,527289170.0,519515217,4298.4,35.12523,129.09444
부산,동구,10.07,0.0,0.0,부산항,3.6,80341763.0,80077371,3409.1,35.12831,129.0448
부산,동래구,16.71,0.0,0.0,부산항,12.8,98173539.0,98554051,4336.4,35.20616,129.07911
부산,부산진구,29.83,0.0,0.0,부산항,7.7,228006686.0,238861163,3685.9,35.16528,129.04309
부산,북구,39.65,0.0,0.0,부산항,14.9,110032327.0,111386068,3787.0,35.22931,129.02341
부산,사상구,36.18,0.0,0.0,부산항,8.4,722069586.0,742060913,3286.2,35.15805,128.98659
부산,사하구,47.29,0.0,0.0,부산항,6.4,1349977457.0,1425938823,3476.0,35.08615,128.9704
부산,서구,14.13,0.0,0.0,부산항,2.4,176012818.0,176621989,3827.7,35.10273,129.01498
부산,수영구,10.31,0.0,0.0,부산항,9.7,13508064.0,13677689,3978.3,35.16119,129.11136
부산,연제구,12.15,0.0,0.0,부산항,10.4,63379498.0,64690784,4165.4,35.18236,129.083
부산,영도구,14.71,0.0,0.0,부산항,3.0,125389752.0,118835562,3436.5,35.07875,129.06481
부산,중구,3.02,0.0,0.0,부산항,1.3,6172972.0,6292698,2889.0,35.10539,129.03214
부산,해운대구,52.19,1.0,19.161,부산항,15.0,139331716.0,157309366,5025.2,35.19369,129.1536
서울,강남구,39.41,0.0,0.0,서울항,12.1,290046865.0,279846147,8649.8,37.4967,127.06293
서울,강동구,24.55,5.0,203.666,서울항,19.1,165037446.0,161341465,4873.0,37.55044,127.14698
서울,강북구,23.61,0.0,0.0,서울항,14.4,49670156.0,52091825,3462.1,37.6434,127.01123
서울,강서구,41.56,0.0,0.0,서울항,10.2,346482775.0,339111326,4476.8,37.56125,126.8227
